season,episode,title,year,series,code,EpisodeNum,rating,votes
1,1,Pilot,2009,Community,tt1467481,1,7.8,3311.0
1,2,Spanish 101,2009,Community,tt1503241,2,7.9,2869.0
1,3,Introduction to Film,2009,Community,tt1480354,3,8.3,2809.0
1,4,Social Psychology,2009,Community,tt1527326,4,8.2,2577.0
1,5,Advanced Criminal Law,2009,Community,tt1515324,5,7.9,2467.0
1,6,"Football, Feminism and You",2009,Community,tt1515325,6,7.8,2426.0
1,7,Introduction to Statistics,2009,Community,tt1528909,7,8.8,2857.0
1,8,Home Economics,2009,Community,tt1531446,8,8.0,2354.0
1,9,Debate 109,2009,Community,tt1531175,9,8.8,2826.0
1,10,Environmental Science,2009,Community,tt1544667,10,8.2,2394.0
1,11,Politics of Human Sexuality,2009,Community,tt1550378,11,7.9,2295.0
1,12,Comparative Religion,2009,Community,tt1559103,12,8.5,2483.0
1,13,Investigative Journalism,2010,Community,tt1575766,13,8.0,2372.0
1,14,Interpretive Dance,2010,Community,tt1584204,14,7.9,2238.0
1,15,Romantic Expressionism,2010,Community,tt1593849,15,8.1,2244.0
1,16,Communication Studies,2010,Community,tt1593848,16,8.5,2330.0
1,17,Physical Education,2010,Community,tt1594619,17,9.0,2862.0
1,18,Basic Genealogy,2010,Community,tt1612641,18,8.0,2196.0
1,19,Beginner Pottery,2010,Community,tt1582821,19,8.5,2359.0
1,20,The Science of Illusion,2010,Community,tt1619954,20,8.5,2278.0
1,21,Contemporary American Poultry,2010,Community,tt1628912,21,9.3,3573.0
1,22,The Art of Discourse,2010,Community,tt1628913,22,8.0,2345.0
1,23,Modern Warfare,2010,Community,tt1595996,23,9.8,8464.0
1,24,English as a Second Language,2010,Community,tt1628195,24,8.2,2161.0
1,25,Pascal's Triangle Revisited,2010,Community,tt1652486,25,8.5,2353.0
2,1,Anthropology 101,2010,Community,tt1640852,26,8.7,2467.0
2,2,Accounting for Lawyers,2010,Community,tt1640868,27,8.3,2246.0
2,3,The Psychology of Letting Go,2010,Community,tt1640863,28,8.1,2166.0
2,4,Basic Rocket Science,2010,Community,tt1640869,29,8.7,2559.0
2,5,Messianic Myths and Ancient Peoples,2010,Community,tt1640870,30,7.8,2416.0
2,6,Epidemiology,2010,Community,tt1640871,31,9.3,3659.0
2,7,Aerodynamics of Gender,2010,Community,tt1640872,32,8.5,2485.0
2,8,Cooperative Calligraphy,2010,Community,tt1640873,33,9.1,2991.0
2,9,Conspiracy Theories and Interior Design,2010,Community,tt1640874,34,9.4,3691.0
2,10,Mixology Certification,2010,Community,tt1640853,35,8.5,2392.0
2,11,Abed's Uncontrollable Christmas,2010,Community,tt1640854,36,8.8,3269.0
2,12,Asian Population Studies,2011,Community,tt1640855,37,8.0,2093.0
2,13,Celebrity Pharmacology 212,2011,Community,tt1640856,38,7.9,2135.0
2,14,Advanced Dungeons & Dragons,2011,Community,tt1824317,39,9.5,4254.0
2,15,Early 21st Century Romanticism,2011,Community,tt1640857,40,8.1,2145.0
2,16,Intermediate Documentary Filmmaking,2011,Community,tt1640858,41,8.8,2449.0
2,17,Intro to Political Science,2011,Community,tt1640860,42,8.3,2219.0
2,18,Custody Law and Eastern European Diplomacy,2011,Community,tt1640861,43,7.4,2060.0
2,19,Critical Film Studies,2011,Community,tt1640862,44,9.0,2890.0
2,20,Competitive Wine Tasting,2011,Community,tt1640864,45,7.6,2019.0
2,21,Paradigms of Human Memory,2011,Community,tt1640865,46,9.1,2914.0
2,22,Applied Anthropology and Culinary Arts,2011,Community,tt1640866,47,8.0,2027.0
2,23,A Fistful of Paintballs,2011,Community,tt1640867,48,9.7,4854.0
2,24,For a Few Paintballs More,2011,Community,tt1862636,49,9.6,3961.0
3,1,Biology 101,2011,Community,tt1986325,50,8.1,2210.0
3,2,Geography of Global Conflict,2011,Community,tt2060962,51,8.1,2157.0
3,3,Competitive Ecology,2011,Community,tt2063144,52,8.1,2124.0
3,4,Remedial Chaos Theory,2011,Community,tt2060963,53,9.8,7138.0
3,5,Horror Fiction in Seven Spooky Steps,2011,Community,tt2063145,54,8.8,2502.0
3,6,Advanced Gay,2011,Community,tt2049724,55,7.7,2056.0
3,7,Studies in Modern Movement,2011,Community,tt2083482,56,8.6,2254.0
3,8,Documentary Filmmaking: Redux,2011,Community,tt2083483,57,9.0,2707.0
3,9,Foosball and Nocturnal Vigilantism,2011,Community,tt2080563,58,8.4,2195.0
3,10,Regional Holiday Music,2011,Community,tt2105238,59,8.7,2588.0
3,11,Urban Matrimony and the Sandwich Arts,2012,Community,tt2117096,60,7.7,2038.0
3,12,Contemporary Impressionists,2012,Community,tt2090774,61,8.0,2060.0
3,13,Digital Exploration of Interior Design,2012,Community,tt2128972,62,8.2,2048.0
3,14,Pillows and Blankets,2012,Community,tt2127579,63,9.3,3493.0
3,15,Origins of Vampire Mythology,2012,Community,tt2194835,64,8.2,2036.0
3,16,Virtual Systems Analysis,2012,Community,tt2194837,65,8.6,2315.0
3,17,Basic Lupine Urology,2012,Community,tt2194839,66,9.5,3396.0
3,18,Course Listing Unavailable,2012,Community,tt2192103,67,8.3,1946.0
3,19,Curriculum Unavailable,2012,Community,tt2196353,68,9.2,2599.0
3,20,Digital Estate Planning,2012,Community,tt2383315,69,9.5,3644.0
3,21,The First Chang Dynasty,2012,Community,tt2279599,70,9.1,2411.0
3,22,Introduction to Finality,2012,Community,tt2383317,71,8.8,2193.0
4,1,History 101,2013,Community,tt2295962,72,7.3,2384.0
4,2,Paranormal Parentage,2013,Community,tt2371360,73,7.6,2015.0
4,3,Conventions of Space and Time,2013,Community,tt2672790,74,7.3,1957.0
4,4,Alternative History of the German Invasion,2013,Community,tt2699318,75,7.1,1827.0
4,5,Cooperative Escapism in Familial Relations,2013,Community,tt2712482,76,7.5,1853.0
4,6,Advanced Documentary Filmmaking,2013,Community,tt2717182,77,7.5,1775.0
4,7,Economics of Marine Biology,2013,Community,tt2764048,78,6.7,1792.0
4,8,Herstory of Dance,2013,Community,tt2777464,79,7.9,1917.0
4,9,Intro to Felt Surrogacy,2013,Community,tt2791144,80,7.0,2069.0
4,10,Intro to Knots,2013,Community,tt2578322,81,7.6,1755.0
4,11,Basic Human Anatomy,2013,Community,tt2522288,82,8.0,1836.0
4,12,Heroic Origins,2013,Community,tt2560884,83,8.2,1910.0
4,13,Advanced Introduction to Finality,2013,Community,tt2855096,84,7.7,1893.0
5,1,Repilot,2014,Community,tt2911368,85,8.0,2148.0
5,2,Introduction to Teaching,2014,Community,tt3176520,86,8.6,2174.0
5,3,Basic Intergluteal Numismatics,2014,Community,tt3230996,87,9.0,2628.0
5,4,Cooperative Polygraphy,2014,Community,tt3278566,88,9.3,2633.0
5,5,Geothermal Escapism,2014,Community,tt3278574,89,9.4,3054.0
5,6,Analysis of Cork-Based Networking,2014,Community,tt3278580,90,8.2,1878.0
5,7,Bondage and Beta Male Sexuality,2014,Community,tt3278586,91,7.8,1656.0
5,8,App Development and Condiments,2014,Community,tt3278596,92,9.0,2366.0
5,9,VCR Maintenance and Educational Publishing,2014,Community,tt3278600,93,8.1,1722.0
5,10,Advanced Advanced Dungeons & Dragons,2014,Community,tt3313070,94,8.5,1838.0
5,11,G.I. Jeff,2014,Community,tt3313074,95,8.0,1916.0
5,12,Basic Story,2014,Community,tt3313076,96,7.9,1515.0
5,13,Basic Sandwich,2014,Community,tt3313082,97,8.3,1625.0
6,1,Ladders,2015,Community,tt3840022,98,7.8,1817.0
6,2,Lawnmower Maintenance & Postnatal Care,2015,Community,tt4242868,99,7.6,1659.0
6,3,Basic Crisis Room Decorum,2015,Community,tt4242870,100,7.8,1550.0
6,4,Queer Studies & Advanced Waxing,2015,Community,tt4242872,101,8.1,1590.0
6,5,Laws of Robotics & Party Rights,2015,Community,tt4242876,102,7.8,1465.0
6,6,Basic Email Security,2015,Community,tt4242880,103,7.7,1483.0
6,7,Advanced Safety Features,2015,Community,tt4242884,104,7.4,1436.0
6,8,Intro to Recycled Cinema,2015,Community,tt4242890,105,7.9,1441.0
6,9,Grifting 101,2015,Community,tt4242886,106,7.7,1427.0
6,10,Basic RV Repair and Palmistry,2015,Community,tt4242892,107,7.6,1434.0
6,11,Modern Espionage,2015,Community,tt4242896,108,9.0,1917.0
6,12,Wedding Videography,2015,Community,tt4242898,109,8.6,1642.0
6,13,Emotional Consequences of Broadcast Television,2015,Community,tt3898640,110,9.6,3630.0
