season,episode,title,year,series,code,EpisodeNum,rating,votes
1,1,Pilot,2016,The Good Place,tt5789204,1,8.1,2933.0
1,2,Flying,2016,The Good Place,tt5789208,2,7.7,2581.0
1,3,Tahani Al-Jamil,2016,The Good Place,tt5789214,3,8.0,2444.0
1,4,Jason Mendoza,2016,The Good Place,tt5789216,4,7.9,2329.0
1,5,Category 55 Emergency Doomsday Crisis,2016,The Good Place,tt5881470,5,8.1,2235.0
1,6,What We Owe to Each Other,2016,The Good Place,tt5884078,6,8.0,2192.0
1,7,The Eternal Shriek,2016,The Good Place,tt5845746,7,8.4,2226.0
1,8,Most Improved Player,2016,The Good Place,tt5845750,8,8.6,2208.0
1,9,...Someone Like Me as a Member,2016,The Good Place,tt5884080,9,8.2,2064.0
1,10,Chidi's Choice,2017,The Good Place,tt5884086,10,8.3,2065.0
1,11,What's My Motivation,2017,The Good Place,tt5884088,11,8.2,1987.0
1,12,Mindy St. Claire,2017,The Good Place,tt5884092,12,8.5,2148.0
1,13,Michael's Gambit,2017,The Good Place,tt5878604,13,9.5,3723.0
2,1,Everything Is Great!,2017,The Good Place,tt6487100,14,8.6,2197.0
2,2,Dance Dance Resolution,2017,The Good Place,tt6949036,15,8.7,2105.0
2,3,Team Cockroach,2017,The Good Place,tt7065442,16,8.1,1883.0
2,4,Existential Crisis,2017,The Good Place,tt6920110,17,8.0,1872.0
2,5,The Trolley Problem,2017,The Good Place,tt6951978,18,8.7,2064.0
2,6,Janet and Michael,2017,The Good Place,tt7065450,19,8.2,1857.0
2,7,Derek,2017,The Good Place,tt7065460,20,7.9,1812.0
2,8,Leap to Faith,2018,The Good Place,tt7058830,21,8.5,1852.0
2,9,Best Self,2018,The Good Place,tt7064332,22,8.5,1822.0
2,10,"Rhonda, Diana, Jake, and Trent",2018,The Good Place,tt7065470,23,9.0,2103.0
2,11,The Burrito,2018,The Good Place,tt7065476,24,8.9,1995.0
2,12,Somewhere Else,2018,The Good Place,tt7065490,25,9.0,2184.0
3,1,Everything Is Bonzer!,2018,The Good Place,tt7664192,26,8.3,1762.0
3,2,The Brainy Bunch,2018,The Good Place,tt8601200,27,7.7,1542.0
3,3,The Snowplow,2018,The Good Place,tt8601206,28,7.7,1515.0
3,4,Jeremy Bearimy,2018,The Good Place,tt8601210,29,8.4,1622.0
3,5,The Ballad of Donkey Doug,2018,The Good Place,tt8534442,30,7.5,1488.0
3,6,A Fractured Inheritance,2018,The Good Place,tt8564998,31,7.8,1459.0
3,7,The Worst Possible Use of Free Will,2018,The Good Place,tt8488908,32,8.2,1402.0
3,8,Don't Let the Good Life Pass You By,2018,The Good Place,tt8601212,33,8.3,1417.0
3,9,Janet(s),2018,The Good Place,tt8578788,34,9.2,2118.0
3,10,The Book of Dougs,2019,The Good Place,tt8601222,35,8.1,1323.0
3,11,Chidi Sees the Time-Knife,2019,The Good Place,tt8601216,36,8.3,1333.0
3,12,Pandemonium,2019,The Good Place,tt7853310,37,8.6,1552.0
4,1,A Girl from Arizona,2019,The Good Place,tt9382678,38,7.6,1226.0
4,2,A Girl from Arizona Part 2,2019,The Good Place,tt10337782,39,7.8,1108.0
4,3,Chillaxing,2019,The Good Place,tt10337786,40,7.5,1075.0
4,4,"Tinker, Tailor, Demon, Spy",2019,The Good Place,tt10337788,41,8.2,1105.0
4,5,Employee of the Bearimy,2019,The Good Place,tt10337778,42,7.8,1022.0
4,6,A Chip Driver Mystery,2019,The Good Place,tt11028782,43,7.5,1042.0
4,7,Help Is Other People,2019,The Good Place,tt11028790,44,8.5,1110.0
4,8,The Funeral to End All Funerals,2019,The Good Place,tt11028798,45,8.5,1138.0
4,9,The Answer,2019,The Good Place,tt10547784,46,8.7,1337.0
4,10,"You've Changed, Man",2020,The Good Place,tt11046796,47,8.1,992.0
4,11,"Mondays, Am I Right?",2020,The Good Place,tt10680456,48,7.9,958.0
4,12,Patty,2020,The Good Place,tt11046830,49,8.6,1136.0
4,13,Whenever You're Ready,2020,The Good Place,tt10703532,50,9.6,2536.0
