season,episode,title,year,series,code,EpisodeNum,rating,votes
1,1,Pilot,2012,The Mindy Project,tt2157844,1,7.5,488.0
1,2,Hiring and Firing,2012,The Mindy Project,tt2371854,2,7.7,402.0
1,3,In the Club,2012,The Mindy Project,tt2391046,3,7.6,384.0
1,4,Halloween,2012,The Mindy Project,tt2369732,4,7.4,336.0
1,5,Danny Castellano Is My Gynecologist,2012,The Mindy Project,tt2476020,5,8.3,353.0
1,6,Thanksgiving,2012,The Mindy Project,tt2398188,6,7.3,316.0
1,7,Teen Patient,2012,The Mindy Project,tt2510746,7,7.1,316.0
1,8,Two to One,2012,The Mindy Project,tt2471412,8,7.4,307.0
1,9,Josh and Mindy's Christmas Party,2012,The Mindy Project,tt2461402,9,8.4,336.0
1,10,Mindy's Brother,2013,The Mindy Project,tt2581590,10,6.9,310.0
1,11,Bunk Bed,2013,The Mindy Project,tt2599544,11,7.3,287.0
1,12,Hooking Up Is Hard,2013,The Mindy Project,tt2613688,12,7.8,285.0
1,13,Harry & Sally,2013,The Mindy Project,tt2579094,13,7.5,292.0
1,14,Harry & Mindy,2013,The Mindy Project,tt2627884,14,7.7,299.0
1,15,Mindy's Minute,2013,The Mindy Project,tt2655714,15,6.8,290.0
1,16,The One That Got Away,2013,The Mindy Project,tt2622948,16,7.6,295.0
1,17,Mindy's Birthday,2013,The Mindy Project,tt2763110,17,7.7,289.0
1,18,Danny's Friend,2013,The Mindy Project,tt2726916,18,7.2,275.0
1,19,My Cool Christian Boyfriend,2013,The Mindy Project,tt2722412,19,8.4,294.0
1,20,Pretty Man,2013,The Mindy Project,tt2739628,20,7.7,290.0
1,21,Santa Fe,2013,The Mindy Project,tt2763122,21,8.1,306.0
1,22,Triathlon,2013,The Mindy Project,tt2763118,22,7.7,290.0
1,23,Frat Party,2013,The Mindy Project,tt2763124,23,7.5,305.0
1,24,Take Me with You,2013,The Mindy Project,tt2763120,24,8.0,317.0
2,1,All My Problems Solved Forever...,2013,The Mindy Project,tt2948218,25,7.6,307.0
2,2,The Other Dr. L,2013,The Mindy Project,tt3179588,26,7.7,293.0
2,3,Music Festival,2013,The Mindy Project,tt3126060,27,7.6,284.0
2,4,Magic Morgan,2013,The Mindy Project,tt3183004,28,7.8,271.0
2,5,Wiener Night,2013,The Mindy Project,tt3238644,29,8.4,304.0
2,6,Bro Club for Dudes,2013,The Mindy Project,tt3201590,30,7.4,268.0
2,7,Sk8er Man,2013,The Mindy Project,tt3233116,31,7.6,280.0
2,8,You've Got Sext,2013,The Mindy Project,tt3218316,32,8.9,387.0
2,9,Mindy Lahiri Is a Racist,2013,The Mindy Project,tt3255784,33,7.3,264.0
2,10,Wedding Crushers,2013,The Mindy Project,tt3263170,34,7.9,261.0
2,11,Christmas Party Sex Trap,2013,The Mindy Project,tt3318944,35,8.7,308.0
2,12,Danny Castellano Is My Personal Trainer,2014,The Mindy Project,tt3318946,36,8.5,302.0
2,13,L.A.,2014,The Mindy Project,tt3318948,37,7.4,262.0
2,14,The Desert,2014,The Mindy Project,tt3454746,38,8.2,348.0
2,15,"French Me, You Idiot",2014,The Mindy Project,tt3505278,39,7.5,255.0
2,16,Indian BBW,2014,The Mindy Project,tt3505276,40,7.8,274.0
2,17,Be Cool,2014,The Mindy Project,tt3627200,41,8.1,267.0
2,18,Girl Crush,2014,The Mindy Project,tt3659694,42,7.4,240.0
