season,episode,title,year,series,code,EpisodeNum,rating,votes
1,1,Pilot,2005,The Office,tt0664521,1,7.5,4776.0
1,2,Diversity Day,2005,The Office,tt0664514,2,8.3,4642.0
1,3,Health Care,2005,The Office,tt0664517,3,7.8,3899.0
1,4,The Alliance,2005,The Office,tt0664523,4,8.1,3789.0
1,5,Basketball,2005,The Office,tt0664510,5,8.4,4152.0
1,6,Hot Girl,2005,The Office,tt0664518,6,7.8,3718.0
2,1,The Dundies,2005,The Office,tt0664525,7,8.7,4173.0
2,2,Sexual Harassment,2005,The Office,tt0664522,8,8.2,3539.0
2,3,Office Olympics,2005,The Office,tt0664519,9,8.4,3538.0
2,4,The Fire,2005,The Office,tt0664527,10,8.4,3484.0
2,5,Halloween,2005,The Office,tt0664516,11,8.1,3285.0
2,6,The Fight,2005,The Office,tt0664526,12,8.2,3275.0
2,7,The Client,2005,The Office,tt0664524,13,8.6,3411.0
2,8,Performance Review,2005,The Office,tt0664520,14,8.2,3107.0
2,9,E-Mail Surveillance,2005,The Office,tt0664515,15,8.4,3225.0
2,10,Christmas Party,2005,The Office,tt0664513,16,8.9,3533.0
2,11,Booze Cruise,2006,The Office,tt0664511,17,8.6,3429.0
2,12,The Injury,2006,The Office,tt0664528,18,9.1,4170.0
2,13,The Secret,2006,The Office,tt0756967,19,8.3,3034.0
2,14,The Carpet,2006,The Office,tt0756966,20,7.8,3018.0
2,15,Boys and Girls,2006,The Office,tt0664512,21,8.2,2992.0
2,16,Valentine's Day,2006,The Office,tt0763221,22,8.3,3005.0
2,17,Dwight's Speech,2006,The Office,tt0770626,23,8.5,3175.0
2,18,Take Your Daughter to Work Day,2006,The Office,tt0779510,24,8.3,3102.0
2,19,Michael's Birthday,2006,The Office,tt0776249,25,8.1,2990.0
2,20,Drug Testing,2006,The Office,tt0795874,26,8.4,3066.0
2,21,Conflict Resolution,2006,The Office,tt0796140,27,8.7,3135.0
2,22,Casino Night,2006,The Office,tt0800604,28,9.4,4603.0
3,1,Gay Witch Hunt,2006,The Office,tt0859444,29,9.0,3977.0
3,2,The Convention,2006,The Office,tt0859445,30,8.2,2927.0
3,3,The Coup,2006,The Office,tt0868440,31,8.5,3062.0
3,4,Grief Counseling,2006,The Office,tt0877241,32,8.0,2942.0
3,5,Initiation,2006,The Office,tt0873237,33,8.1,2872.0
3,6,Diwali,2006,The Office,tt0888293,34,7.9,2970.0
3,7,Branch Closing,2006,The Office,tt0888292,35,8.6,2909.0
3,8,The Merger,2006,The Office,tt0894520,36,8.7,3050.0
3,9,The Convict,2006,The Office,tt0900677,37,8.3,3043.0
3,10,A Benihana Christmas,2006,The Office,tt0908674,38,8.8,3217.0
3,11,Back from Vacation,2007,The Office,tt0918835,39,8.5,2891.0
3,12,Traveling Salesmen,2007,The Office,tt0934246,40,8.6,2952.0
3,13,The Return,2007,The Office,tt0937879,41,8.8,3103.0
3,14,Ben Franklin,2007,The Office,tt0954759,42,8.1,2869.0
3,15,Phyllis' Wedding,2007,The Office,tt0962460,43,8.2,2899.0
3,16,Business School,2007,The Office,tt0964922,44,8.9,3340.0
3,17,Cocktails,2007,The Office,tt0967814,45,8.5,2881.0
3,18,The Negotiation,2007,The Office,tt0983623,46,9.0,3258.0
3,19,Safety Training,2007,The Office,tt0966362,47,8.8,3060.0
3,20,Product Recall,2007,The Office,tt1008441,48,8.7,3045.0
3,21,Women's Appreciation,2007,The Office,tt1020711,49,8.8,3057.0
3,22,Beach Games,2007,The Office,tt1028389,50,9.2,3507.0
3,23,The Job,2007,The Office,tt1030253,51,9.3,3769.0
4,1,Fun Run,2007,The Office,tt1026035,52,8.8,3531.0
4,2,Dunder Mifflin Infinity,2007,The Office,tt1031459,53,8.3,2839.0
4,3,Launch Party,2007,The Office,tt1031470,54,8.4,2751.0
4,4,Money,2007,The Office,tt1031472,55,8.7,2969.0
4,5,Local Ad,2007,The Office,tt1031473,56,8.8,3027.0
4,6,Branch Wars,2007,The Office,tt1031474,57,8.5,2787.0
4,7,Survivor Man,2007,The Office,tt1031475,58,8.2,2691.0
4,8,The Deposition,2007,The Office,tt1031476,59,8.7,2824.0
4,9,Dinner Party,2008,The Office,tt1031477,60,9.5,5381.0
4,10,Chair Model,2008,The Office,tt1031449,61,8.0,2666.0
4,11,Night Out,2008,The Office,tt1031450,62,8.6,2773.0
4,12,Did I Stutter?,2008,The Office,tt1031451,63,8.3,2658.0
4,13,Job Fair,2008,The Office,tt1031452,64,7.8,2526.0
4,14,"Goodbye, Toby",2008,The Office,tt1031453,65,9.3,3776.0
5,1,Weight Loss,2008,The Office,tt1236462,66,8.8,3139.0
5,2,Business Ethics,2008,The Office,tt1248743,67,8.3,2552.0
5,3,Baby Shower,2008,The Office,tt1248747,68,8.0,2520.0
5,4,Crime Aid,2008,The Office,tt1248748,69,8.1,2432.0
5,5,Employee Transfer,2008,The Office,tt1248749,70,8.0,2506.0
5,6,Customer Survey,2008,The Office,tt1248750,71,8.5,2607.0
5,7,Business Trip,2008,The Office,tt1248751,72,8.2,2417.0
5,8,Frame Toby,2008,The Office,tt1248752,73,8.6,2688.0
5,9,The Surplus,2008,The Office,tt1248753,74,8.8,2669.0
5,10,Moroccan Christmas,2008,The Office,tt1248733,75,8.4,2518.0
5,11,The Duel,2009,The Office,tt1248734,76,8.7,2608.0
5,12,Prince Family Paper,2009,The Office,tt1248735,77,8.0,2516.0
5,13,Stress Relief,2009,The Office,tt1248736,78,9.7,7831.0
5,14,Lecture Circuit: Part 1,2009,The Office,tt1248737,79,8.2,2383.0
5,15,Lecture Circuit: Part 2,2009,The Office,tt1248738,80,8.2,2341.0
5,16,Blood Drive,2009,The Office,tt1248739,81,8.0,2371.0
5,17,Golden Ticket,2009,The Office,tt1248740,82,8.7,2561.0
5,18,New Boss,2009,The Office,tt1248741,83,8.3,2408.0
5,19,Two Weeks,2009,The Office,tt1248742,84,8.4,2397.0
5,20,Dream Team,2009,The Office,tt1248745,85,8.3,2394.0
5,21,Michael Scott Paper Company,2009,The Office,tt1248744,86,8.7,2619.0
5,22,Heavy Competition,2009,The Office,tt1248746,87,8.7,2475.0
5,23,Broke,2009,The Office,tt1268727,88,9.2,3269.0
5,24,Casual Friday,2009,The Office,tt1406712,89,8.3,2371.0
5,25,Cafe Disco,2009,The Office,tt1417507,90,8.7,2710.0
5,28,Company Picnic,2009,The Office,tt1417732,91,9.0,2835.0
6,1,Gossip,2009,The Office,tt1467798,92,8.8,2757.0
6,2,The Meeting,2009,The Office,tt1487740,93,8.1,2261.0
6,3,The Promotion,2009,The Office,tt1487741,94,8.0,2253.0
6,4,Niagara: Part 1,2009,The Office,tt1487742,95,9.4,4396.0
6,5,Niagara: Part 2,2009,The Office,tt5541236,96,9.4,2918.0
6,6,Mafia,2009,The Office,tt1520196,97,7.6,2361.0
6,7,The Lover,2009,The Office,tt1520197,98,8.6,2490.0
6,8,Koi Pond,2009,The Office,tt1524878,99,8.2,2254.0
6,9,Double Date,2009,The Office,tt1531589,100,8.1,2226.0
6,10,Murder,2009,The Office,tt1535367,101,8.7,2649.0
6,11,Shareholder Meeting,2009,The Office,tt1536326,102,8.2,2243.0
6,12,Scott's Tots,2009,The Office,tt1544466,103,8.3,2577.0
6,13,Secret Santa,2009,The Office,tt1548747,104,8.5,2373.0
6,14,The Banker,2010,The Office,tt1564719,105,6.8,2915.0
6,15,Sabre,2010,The Office,tt1564720,106,7.7,2159.0
6,16,Manager and Salesman,2010,The Office,tt1564721,107,8.1,2134.0
6,17,The Delivery: Part 1,2010,The Office,tt1582153,108,8.4,2257.0
6,18,The Delivery: Part 2,2010,The Office,tt1582154,109,8.5,2272.0
6,19,St. Patrick's Day,2010,The Office,tt1589333,110,7.7,2109.0
6,20,New Leads,2010,The Office,tt1589334,111,7.8,2066.0
6,21,Happy Hour,2010,The Office,tt1589335,112,8.6,2409.0
