season,episode,title,year,series,code,EpisodeNum,rating,votes
1,1,Pilot,2016,This Is Us,tt5734500,1,9.3,4942.0
1,2,The Big Three,2016,This Is Us,tt5924012,2,8.7,2794.0
1,3,Kyle,2016,This Is Us,tt6099382,3,8.8,2630.0
1,4,The Pool,2016,This Is Us,tt6085956,4,8.9,2607.0
1,5,The Game Plan,2016,This Is Us,tt6098130,5,8.8,2507.0
1,6,Career Days,2016,This Is Us,tt6072420,6,8.7,2071.0
1,7,The Best Washing Machine in the Whole World,2016,This Is Us,tt6115024,7,8.7,1978.0
1,8,Pilgrim Rick,2016,This Is Us,tt6072390,8,9.2,2488.0
1,9,The Trip,2016,This Is Us,tt6034056,9,8.8,2158.0
1,10,Last Christmas,2016,This Is Us,tt6115034,10,9.1,2349.0
1,11,The Right Thing to Do,2017,This Is Us,tt6142654,11,8.5,1783.0
1,12,The Big Day,2017,This Is Us,tt6142658,12,9.0,2288.0
1,13,Three Sentences,2017,This Is Us,tt6142662,13,8.9,2066.0
1,14,I Call Marriage,2017,This Is Us,tt6142660,14,8.5,1688.0
1,15,Jack Pearson's Son,2017,This Is Us,tt6142664,15,9.1,2202.0
1,16,Memphis,2017,This Is Us,tt6142668,16,9.5,3720.0
1,17,What Now?,2017,This Is Us,tt6142666,17,9.1,2035.0
1,18,Moonshadow,2017,This Is Us,tt6142670,18,8.7,1851.0
2,1,A Father's Advice,2017,This Is Us,tt6439846,19,9.0,1972.0
2,2,A Manny-Splendored Thing,2017,This Is Us,tt6439842,20,8.6,1604.0
2,3,Déjà Vu,2017,This Is Us,tt6439850,21,8.5,1552.0
2,4,Still There,2017,This Is Us,tt6439852,22,8.4,1595.0
2,5,Brothers,2017,This Is Us,tt6439856,23,8.5,1768.0
2,6,The 20's,2017,This Is Us,tt6439858,24,8.5,1717.0
2,7,The Most Disappointed Man,2017,This Is Us,tt6439854,25,8.9,1620.0
2,8,Number One,2017,This Is Us,tt6439848,26,9.2,2295.0
2,9,Number Two,2017,This Is Us,tt6439860,27,8.8,1676.0
2,10,Number Three,2017,This Is Us,tt6439864,28,8.9,1780.0
2,11,The Fifth Wheel,2018,This Is Us,tt6439862,29,9.2,1947.0
2,12,Clooney,2018,This Is Us,tt6439866,30,8.6,1505.0
2,13,That'll Be the Day,2018,This Is Us,tt6439868,31,9.5,2479.0
2,14,Super Bowl Sunday,2018,This Is Us,tt6439870,32,9.8,4247.0
2,15,The Car,2018,This Is Us,tt6439884,33,9.3,1904.0
2,16,"Vegas, Baby",2018,This Is Us,tt6439876,34,8.0,1544.0
2,17,"This Big, Amazing, Beautiful Life",2018,This Is Us,tt6439880,35,7.6,1673.0
2,18,The Wedding,2018,This Is Us,tt6439882,36,8.8,1714.0
3,1,Nine Bucks,2018,This Is Us,tt6439874,37,8.8,1127.0
3,2,A Philadelphia Story,2018,This Is Us,tt6439878,38,8.3,886.0
3,3,Katie Girls,2018,This Is Us,tt6439890,39,8.7,941.0
3,4,Vietnam,2018,This Is Us,tt6439900,40,8.2,1052.0
3,5,Toby,2018,This Is Us,tt6439894,41,8.3,810.0
3,6,Kamsahamnida,2018,This Is Us,tt6439896,42,8.5,816.0
3,7,Sometimes,2018,This Is Us,tt6439898,43,8.5,818.0
3,8,Six Thanksgivings,2018,This Is Us,tt6439886,44,8.3,791.0
3,9,The Beginning Is the End Is the Beginning,2018,This Is Us,tt6439888,45,9.0,940.0
3,10,The Last Seven Weeks,2019,This Is Us,tt6439892,46,8.5,762.0
3,11,Songbird Road: Part One,2019,This Is Us,tt6439906,47,9.2,1044.0
3,12,Songbird Road: Part Two,2019,This Is Us,tt6439902,48,8.6,741.0
3,13,Our Little Island Girl,2019,This Is Us,tt6439910,49,8.8,954.0
3,14,The Graduates,2019,This Is Us,tt6439908,50,8.6,695.0
3,15,The Waiting Room,2019,This Is Us,tt6439916,51,8.3,804.0
3,16,Don't Take My Sunshine Away,2019,This Is Us,tt6439912,52,8.2,657.0
3,17,R & B,2019,This Is Us,tt6439904,53,8.8,790.0
3,18,Her,2019,This Is Us,tt6439914,54,9.2,1003.0
4,1,Strangers,2019,This Is Us,tt10322306,55,9.1,1285.0
4,2,The Pool: Part Two,2019,This Is Us,tt10322308,56,8.6,668.0
4,3,Unhinged,2019,This Is Us,tt10322312,57,8.6,645.0
4,4,Flip a Coin,2019,This Is Us,tt10322310,58,8.7,597.0
4,5,Storybook Love,2019,This Is Us,tt10322314,59,9.1,695.0
4,6,The Club,2019,This Is Us,tt10322316,60,8.5,603.0
4,7,The Dinner and the Date,2019,This Is Us,tt10322320,61,8.9,643.0
4,8,Sorry,2019,This Is Us,tt10322322,62,8.8,585.0
4,9,"So Long, Marianne",2019,This Is Us,tt10322318,63,9.4,783.0
4,10,Light and Shadows,2020,This Is Us,tt10322324,64,9.0,608.0
4,11,A Hell of a Week: Part One,2020,This Is Us,tt10322326,65,8.8,596.0
4,12,A Hell of a Week: Part Two,2020,This Is Us,tt10322328,66,8.8,602.0
4,13,A Hell of a Week: Part Three,2020,This Is Us,tt10322332,67,8.5,533.0
4,14,The Cabin,2020,This Is Us,tt10322330,68,9.6,1008.0
4,15,Clouds,2020,This Is Us,tt10322334,69,8.8,528.0
4,16,"New York, New York, New York",2020,This Is Us,tt10322336,70,8.8,507.0
4,17,After the Fire,2020,This Is Us,tt10322340,71,8.9,588.0
4,18,Strangers: Part Two,2020,This Is Us,tt10322338,72,9.4,785.0
